date,EUR,USD,PLN,TRY
2018-11-23,2599.7349,2279.5689,605.3074,433.3469
2018-11-24,2588.1635,2278.7131,602.6132,431.4181
2018-11-25,2588.1635,2278.7131,602.6132,431.4181
2018-11-26,2588.1635,2278.7131,603.0204,435.2854
2018-11-27,2588.1635,2278.7131,603.2734,436.3569
2018-11-28,2588.6596,2279.4495,602.6726,436.7719
2018-11-29,2582.9556,2278.8126,601.8631,439.6745
2018-11-30,2593.2457,2278.8126,604.4862,441.3810
2018-12-01,2593.2457,2278.7728,604.4862,441.3810
2018-12-02,2590.3512,2278.8325,603.8115,440.8883
2018-12-03,2590.3512,2278.8325,605.0950,435.6460
2018-12-04,2590.3512,2278.8325,604.8972,424.4042
2018-12-05,2598.0711,2280.2753,606.6574,429.7671
2018-12-06,2598.0711,2279.0912,605.8793,426.2837
2018-12-07,2587.6813,2279.0912,603.2594,426.8763
2018-12-08,2589.0473,2279.2405,603.5779,427.1016
2018-12-09,2592.2970,2279.2405,604.3355,427.6377
2018-12-10,2592.2970,2279.2405,603.9694,428.4859
2018-12-11,2592.2970,2280.1659,603.0982,422.9214
2018-12-12,2604.9761,2280.1659,606.0057,427.7957
2018-12-13,2593.6734,2279.3500,604.2338,425.4155
2018-12-14,2587.7365,2279.4395,602.1633,425.6216
2018-12-15,2572.6900,2279.5390,598.6620,423.1468
2018-12-16,2572.6900,2279.5390,598.6620,423.1468
2018-12-17,2572.6900,2279.5390,600.6046,422.0430
2018-12-18,2586.2087,2279.5390,603.5775,425.4892
2018-12-19,2593.3634,2279.5788,605.4592,426.1195
2018-12-20,2600.2547,2280.4246,606.4593,431.0839
2018-12-21,2600.2547,2280.4246,606.8131,429.4676
2018-12-22,2612.3073,2280.4943,609.6257,431.4583
2018-12-23,2601.7395,2280.0266,607.1596,429.7129
2018-12-24,2601.7395,2280.0266,607.2021,430.1818
2018-12-25,2599.9711,2280.4744,606.7894,429.8894
2018-12-26,2599.9711,2280.4744,606.7894,429.8894
2018-12-27,2599.9711,2280.4744,605.4188,432.8452
2018-12-28,2599.9711,2280.4744,604.2510,430.4588
2018-12-29,2615.0915,2280.7729,607.7651,432.9622
2018-12-30,2615.0915,2281.2306,607.7651,432.9622
2018-12-31,2615.0915,2281.2306,607.9629,431.6187
2019-01-01,2615.0915,2281.2007,607.9629,431.6187
2019-01-02,2613.2301,2281.2007,608.2372,427.4873
2019-01-03,2613.2301,2281.2007,608.0815,419.8095
2019-01-04,2588.9906,2281.5490,602.6935,419.5619
2019-01-05,2588.9906,2281.3699,602.6935,419.5619
2019-01-06,2602.1316,2281.3699,605.7526,421.6915
2019-01-07,2602.1316,2281.3699,606.4444,424.3182
2019-01-08,2602.1316,2281.5192,604.3738,414.0159
2019-01-09,2611.4291,2281.6087,607.7614,411.9038
2019-01-10,2613.1280,2281.6087,608.2842,416.7070
2019-01-11,2613.1280,2281.7082,608.0860,414.6243
2019-01-12,2632.1350,2281.6684,612.5090,417.6401
2019-01-13,2632.1247,2281.7580,612.5066,417.6385
2019-01-14,2632.1247,2281.7580,613.1915,416.2054
2019-01-15,2632.1247,2281.7580,613.1201,422.6276
2019-01-16,2608.5620,2282.7033,608.3826,426.4726
2019-01-17,2608.5620,2282.7033,608.9791,426.0964
2019-01-18,2601.4048,2282.8326,605.9502,425.8246
2019-01-19,2601.4048,2282.8326,605.9502,425.8246
2019-01-20,2603.9704,2282.8824,606.5478,426.2445
2019-01-21,2603.9704,2282.8824,606.8305,429.2235
2019-01-22,2594.1879,2282.8326,605.7365,427.0268
2019-01-23,2594.1879,2282.9122,604.8891,429.9213
2019-01-24,2595.6594,2283.0018,605.3169,433.3683
2019-01-25,2590.2141,2283.0316,603.6388,433.1027
2019-01-26,2590.0107,2283.0515,603.5914,433.0687
2019-01-27,2590.0107,2283.0515,603.5914,433.0687
2019-01-28,2590.0107,2283.0515,604.2814,427.8605
2019-01-29,2607.3381,2283.2306,606.6963,429.7928
2019-01-30,2607.6676,2283.4197,607.7771,432.5351
2019-01-31,2608.6150,2283.4496,610.4022,437.0345
2019-02-01,2623.5478,2283.5292,613.8533,438.1050
2019-02-02,2618.9345,2283.5889,612.7739,437.3346
2019-02-03,2618.9345,2283.5889,612.7739,437.3346
2019-02-04,2618.9345,2283.5889,611.6719,438.7266
2019-02-05,2618.9345,2283.6187,610.8729,440.5717
